repo,pr_a,pr_b,prob,raw
OpenHFT/Chronicle-Wire,1023,1026,0.8,
OpenHFT/Chronicle-Wire,1133,1136,0.45,
OpenHFT/Chronicle-Wire,1006,1007,0.45,
OpenHFT/Chronicle-Wire,1111,1116,0.2,
OpenHFT/Chronicle-Wire,1189,1191,0.15,
OpenHFT/Chronicle-Wire,1005,1006,0.25,
OpenHFT/Chronicle-Wire,1167,1168,0.25,
OpenHFT/Chronicle-Wire,1135,1136,0.5,
OpenHFT/Chronicle-Wire,1066,1072,0.4,
OpenHFT/Chronicle-Wire,1113,1118,0.2,
OpenHFT/Chronicle-Wire,1114,1118,0.15,
OpenHFT/Chronicle-Wire,1025,1027,0.15,
OpenHFT/Chronicle-Wire,1023,1025,0.08,
OpenHFT/Chronicle-Wire,1016,1017,0.08,
OpenHFT/Chronicle-Wire,1025,1028,0.35,
OpenHFT/Chronicle-Wire,1152,1154,0.08,
OpenHFT/Chronicle-Wire,1116,1117,0.4,
OpenHFT/Chronicle-Wire,1123,1130,0.12,
OpenHFT/Chronicle-Wire,1160,1161,0.15,
OpenHFT/Chronicle-Wire,1177,1180,0.45,
OpenHFT/Chronicle-Wire,1127,1128,0.12,
OpenHFT/Chronicle-Wire,1103,1107,0.08,
OpenHFT/Chronicle-Wire,1177,1182,0.15,
OpenHFT/Chronicle-Wire,1113,1119,0.2,
OpenHFT/Chronicle-Wire,1055,1056,0.3,
OpenHFT/Chronicle-Wire,1068,1069,0.75,
OpenHFT/Chronicle-Wire,1021,1022,0.8,
OpenHFT/Chronicle-Wire,1003,1005,0.25,
OpenHFT/Chronicle-Wire,1110,1113,0.7,
OpenHFT/Chronicle-Wire,1065,1072,0.45,
OpenHFT/Chronicle-Wire,1047,1048,0.85,
OpenHFT/Chronicle-Wire,1159,1160,0.25,
OpenHFT/Chronicle-Wire,1111,1114,0.05,
OpenHFT/Chronicle-Wire,1123,1127,0.15,
OpenHFT/Chronicle-Wire,1068,1072,0.35,
OpenHFT/Chronicle-Wire,1039,1042,0.1,
OpenHFT/Chronicle-Wire,1116,1119,0.15,
OpenHFT/Chronicle-Wire,1022,1025,0.4,
OpenHFT/Chronicle-Wire,1157,1159,0.08,
OpenHFT/Chronicle-Wire,1079,1083,0.2,
OpenHFT/Chronicle-Wire,1126,1130,0.25,
OpenHFT/Chronicle-Wire,1158,1161,0.08,
OpenHFT/Chronicle-Wire,1163,1164,0.25,
OpenHFT/Chronicle-Wire,1186,1193,0.1,
OpenHFT/Chronicle-Wire,1026,1029,0.3,
OpenHFT/Chronicle-Wire,1114,1115,0.4,
OpenHFT/Chronicle-Wire,1081,1087,0.25,
OpenHFT/Chronicle-Wire,1122,1128,0.2,
OpenHFT/Chronicle-Wire,1104,1107,0.15,
OpenHFT/Chronicle-Wire,1031,1032,0.7,
OpenHFT/Chronicle-Wire,1163,1169,0.08,
OpenHFT/Chronicle-Wire,1106,1107,0.2,
OpenHFT/Chronicle-Wire,1124,1125,0.95,
OpenHFT/Chronicle-Wire,1081,1084,0.15,
OpenHFT/Chronicle-Wire,1133,1134,0.2,
OpenHFT/Chronicle-Wire,1021,1026,0.7,
OpenHFT/Chronicle-Wire,1111,1119,0.1,
OpenHFT/Chronicle-Wire,1084,1086,0.95,
OpenHFT/Chronicle-Wire,1065,1068,0.25,
OpenHFT/Chronicle-Wire,1034,1035,0.08,
OpenHFT/Chronicle-Wire,1146,1149,0.12,
OpenHFT/Chronicle-Wire,1102,1105,0.15,
OpenHFT/Chronicle-Wire,1153,1155,0.05,
OpenHFT/Chronicle-Wire,1003,1007,0.15,
OpenHFT/Chronicle-Wire,1064,1070,0.45,
OpenHFT/Chronicle-Wire,1152,1155,0.08,
OpenHFT/Chronicle-Wire,1098,1099,0.55,
OpenHFT/Chronicle-Wire,1010,1012,0.1,
OpenHFT/Chronicle-Wire,1040,1044,0.2,
OpenHFT/Chronicle-Wire,1078,1079,0.9,
OpenHFT/Chronicle-Wire,1039,1040,0.3,
OpenHFT/Chronicle-Wire,1086,1087,0.85,
OpenHFT/Chronicle-Wire,1123,1125,0.15,
OpenHFT/Chronicle-Wire,1196,1198,0.05,
OpenHFT/Chronicle-Wire,1042,1044,0.4,
OpenHFT/Chronicle-Wire,1157,1158,0.2,
OpenHFT/Chronicle-Wire,1041,1045,0.15,
OpenHFT/Chronicle-Wire,1085,1087,0.95,
OpenHFT/Chronicle-Wire,1042,1043,0.95,
OpenHFT/Chronicle-Wire,1113,1115,0.35,
OpenHFT/Chronicle-Wire,1064,1065,0.95,
OpenHFT/Chronicle-Wire,1156,1160,0.15,
OpenHFT/Chronicle-Wire,1048,1049,0.3,
OpenHFT/Chronicle-Wire,1164,1169,0.1,
OpenHFT/Chronicle-Wire,1141,1142,0.85,
OpenHFT/Chronicle-Wire,1124,1130,0.2,
OpenHFT/Chronicle-Wire,1059,1060,0.5,
OpenHFT/Chronicle-Wire,1012,1013,0.45,
OpenHFT/Chronicle-Wire,1181,1182,0.15,
OpenHFT/Chronicle-Wire,1070,1072,0.3,
OpenHFT/Chronicle-Wire,1009,1014,0.45,
OpenHFT/Chronicle-Wire,1110,1115,0.4,
OpenHFT/Chronicle-Wire,1033,1034,0.2,
OpenHFT/Chronicle-Wire,1022,1029,0.35,
OpenHFT/Chronicle-Wire,1023,1024,0.55,
OpenHFT/Chronicle-Wire,1078,1082,0.25,
OpenHFT/Chronicle-Wire,1082,1083,0.15,
OpenHFT/Chronicle-Wire,1113,1116,0.4,
OpenHFT/Chronicle-Wire,1112,1115,0.55,
OpenHFT/Chronicle-Wire,1186,1192,0.6,
OpenHFT/Chronicle-Wire,1110,1118,0.25,
OpenHFT/Chronicle-Wire,1186,1191,0.6,
OpenHFT/Chronicle-Wire,1041,1042,0.12,
OpenHFT/Chronicle-Wire,1158,1160,0.1,
OpenHFT/Chronicle-Wire,1013,1016,0.18,
OpenHFT/Chronicle-Wire,1166,1169,0.22,
OpenHFT/Chronicle-Wire,1103,1104,0.25,
OpenHFT/Chronicle-Wire,1156,1162,0.12,
OpenHFT/Chronicle-Wire,1023,1027,0.38,
OpenHFT/Chronicle-Wire,1064,1066,0.95,
OpenHFT/Chronicle-Wire,1178,1182,0.12,
OpenHFT/Chronicle-Wire,1111,1112,0.22,
OpenHFT/Chronicle-Wire,1144,1148,0.08,
OpenHFT/Java-Runtime-Compiler,154,157,0.1,
OpenHFT/Java-Runtime-Compiler,156,158,0.12,
OpenHFT/Java-Runtime-Compiler,154,156,0.08,
OpenHFT/Java-Runtime-Compiler,157,158,0.1,
OpenHFT/Java-Runtime-Compiler,156,157,0.08,
OpenHFT/Java-Runtime-Compiler,154,155,0.08,
OpenHFT/Java-Runtime-Compiler,154,158,0.1,
OpenHFT/Java-Runtime-Compiler,155,158,0.15,
OpenHFT/Java-Runtime-Compiler,155,156,0.08,
OpenHFT/Java-Runtime-Compiler,149,150,0.15,
OpenHFT/Java-Runtime-Compiler,155,157,0.1,
OpenRouterTeam/ai-sdk-provider,77,92,0.55,
OpenRouterTeam/ai-sdk-provider,77,88,0.7,
OpenRouterTeam/ai-sdk-provider,76,88,0.25,
OpenRouterTeam/ai-sdk-provider,77,90,0.65,
OpenRouterTeam/ai-sdk-provider,88,92,0.65,
OpenRouterTeam/ai-sdk-provider,76,92,0.8,
OpenRouterTeam/ai-sdk-provider,76,90,0.4,
OpenRouterTeam/ai-sdk-provider,76,77,0.65,
OpenRouterTeam/ai-sdk-provider,88,90,0.65,
OrchardCMS/OrchardCore,18179,18184,0.45,
PRQL/prql,5287,5289,0.8,
PRQL/prql,5286,5287,0.08,
PRQL/prql,5286,5289,0.08,
PRQL/prql,5286,5290,0.15,
PRQL/prql,5289,5290,0.1,
Particular/docs.particular.net,7509,7510,0.4,
PopupMaker/Popup-Maker,1097,1098,0.2,
PopupMaker/Popup-Maker,1096,1098,0.9,
PopupMaker/Popup-Maker,1096,1097,0.2,
PyLabRobot/pylabrobot,549,572,0.08,
PyLabRobot/pylabrobot,537,551,0.08,
PyLabRobot/pylabrobot,537,549,0.08,
PyLabRobot/pylabrobot,549,578,0.28,
PyLabRobot/pylabrobot,536,538,0.08,
PyLabRobot/pylabrobot,569,571,0.18,
PyLabRobot/pylabrobot,568,576,0.45,
PyLabRobot/pylabrobot,549,573,0.25,
PyLabRobot/pylabrobot,549,568,0.08,
PyLabRobot/pylabrobot,536,539,0.05,
PyLabRobot/pylabrobot,569,573,0.1,
PyLabRobot/pylabrobot,568,575,0.35,
PyLabRobot/pylabrobot,568,571,0.05,
PyLabRobot/pylabrobot,549,575,0.05,
PyLabRobot/pylabrobot,537,561,0.2,
PyLabRobot/pylabrobot,537,541,0.05,
PyLabRobot/pylabrobot,549,559,0.05,
PyLabRobot/pylabrobot,616,621,0.15,
PyLabRobot/pylabrobot,626,627,0.15,
PyLabRobot/pylabrobot,568,572,0.05,
PyLabRobot/pylabrobot,537,560,0.18,
PyLabRobot/pylabrobot,569,572,0.05,
PyLabRobot/pylabrobot,568,573,0.08,
PyLabRobot/pylabrobot,549,560,0.1,
PyLabRobot/pylabrobot,549,582,0.05,
PyLabRobot/pylabrobot,559,561,0.05,
PyLabRobot/pylabrobot,616,618,0.6,
PyLabRobot/pylabrobot,536,545,0.05,
PyLabRobot/pylabrobot,537,559,0.05,
PyLabRobot/pylabrobot,549,571,0.45,
PyLabRobot/pylabrobot,537,539,0.2,
PyLabRobot/pylabrobot,559,560,0.35,
PyLabRobot/pylabrobot,575,576,0.65,
PyLabRobot/pylabrobot,623,634,0.4,
PyLabRobot/pylabrobot,536,537,0.15,
PyLabRobot/pylabrobot,549,551,0.45,
PyLabRobot/pylabrobot,549,576,0.15,
PyLabRobot/pylabrobot,568,569,0.75,
PyLabRobot/pylabrobot,536,541,0.3,
PyLabRobot/pylabrobot,549,569,0.15,
PyLabRobot/pylabrobot,569,575,0.4,
PyLabRobot/pylabrobot,560,561,0.28,
PyLabRobot/pylabrobot,549,561,0.12,
PyLabRobot/pylabrobot,537,545,0.48,
PyLabRobot/pylabrobot,569,576,0.38,
PyLabRobot/pylabrobot,623,626,0.08,
PyLabRobot/pylabrobot,537,538,0.1,
PyLabRobot/pylabrobot,529,530,0.18,
PyLabRobot/pylabrobot,623,627,0.58,
PyLabRobot/pylabrobot,616,620,0.12,
PyO3/maturin,2675,2681,0.3,
PyO3/maturin,2672,2674,0.45,
QL-Win/QuickLook,1712,1713,0.22,
RSamaium/RPG-JS,294,295,0.17,
RevenueCat/purchases-android,2516,2549,0.08,
RevenueCat/purchases-android,2490,2516,0.55,
RevenueCat/purchases-android,2463,2516,0.18,
RevenueCat/purchases-android,2463,2549,0.08,
RevenueCat/purchases-android,2463,2490,0.3,
RevenueCat/purchases-android,2490,2549,0.15,
RyanSusana/elepy,181,182,0.98,
StarRocks/starrocks,61244,61248,0.05,
StarRocks/starrocks,61394,61403,0.85,
StarRocks/starrocks,61224,61244,0.05,
StarRocks/starrocks,61248,61403,0.1,
StarRocks/starrocks,61224,61227,0.02,
StarRocks/starrocks,61248,61394,0.08,
StarRocks/starrocks,61219,61227,0.05,
StarRocks/starrocks,61244,61394,0.08,
StarRocks/starrocks,61244,61403,0.08,
StarRocks/starrocks,61219,61244,0.03,
StarRocks/starrocks,61219,61224,0.01,
StarRocks/starrocks,61219,61248,0.01,
StephenDev0/StikDebug,232,233,0.2,
StephenDev0/StikDebug,229,232,0.65,
StephenDev0/StikDebug,204,206,0.12,
Stirling-Tools/Stirling-PDF,3989,3992,0.05,
Stirling-Tools/Stirling-PDF,3989,3990,0.12,
Stirling-Tools/Stirling-PDF,3622,3989,0.08,
Stirling-Tools/Stirling-PDF,3989,3993,0.08,
Stirling-Tools/Stirling-PDF,3556,3557,0.08,
Stirling-Tools/Stirling-PDF,3992,3993,0.05,
Stirling-Tools/Stirling-PDF,3990,3992,0.05,
Stirling-Tools/Stirling-PDF,3555,3557,0.12,
Stirling-Tools/Stirling-PDF,3622,3992,0.08,
Stirling-Tools/Stirling-PDF,3622,3993,0.05,
Stirling-Tools/Stirling-PDF,3621,3622,0.75,
Stirling-Tools/Stirling-PDF,3555,3556,0.05,
Stirling-Tools/Stirling-PDF,3622,3990,0.05,
Stirling-Tools/Stirling-PDF,3990,3993,0.12,
Stratus-Security/Subdominator,13,14,0.18,
Sumukh/Ignite,508,509,0.06,
Tencent/ncnn,6182,6204,0.38,
VerisimilitudeX/DNAnalyzer,518,530,0.4,
VerisimilitudeX/DNAnalyzer,517,529,0.42,
VerisimilitudeX/DNAnalyzer,518,540,0.42,
VerisimilitudeX/DNAnalyzer,517,539,0.28,
VerisimilitudeX/DNAnalyzer,517,526,0.45,
VerisimilitudeX/DNAnalyzer,514,525,0.65,
VerisimilitudeX/DNAnalyzer,508,536,0.7,
VerisimilitudeX/DNAnalyzer,514,535,0.35,
VerisimilitudeX/DNAnalyzer,514,543,0.3,
VerisimilitudeX/DNAnalyzer,514,538,0.25,
VerisimilitudeX/DNAnalyzer,526,535,0.6,
VerisimilitudeX/DNAnalyzer,508,538,0.5,
VerisimilitudeX/DNAnalyzer,514,530,0.6,
VerisimilitudeX/DNAnalyzer,508,515,0.55,
VerisimilitudeX/DNAnalyzer,510,534,0.28,
VerisimilitudeX/DNAnalyzer,510,537,0.75,
VerisimilitudeX/DNAnalyzer,515,530,0.55,
VerisimilitudeX/DNAnalyzer,510,513,0.48,
VerisimilitudeX/DNAnalyzer,516,521,0.52,
VerisimilitudeX/DNAnalyzer,516,535,0.5,
VerisimilitudeX/DNAnalyzer,536,538,0.3,
VerisimilitudeX/DNAnalyzer,526,536,0.4,
VerisimilitudeX/DNAnalyzer,532,539,0.32,
VerisimilitudeX/DNAnalyzer,510,539,0.55,
VerisimilitudeX/DNAnalyzer,510,530,0.6,
VerisimilitudeX/DNAnalyzer,508,534,0.45,
VerisimilitudeX/DNAnalyzer,510,529,0.9,
VerisimilitudeX/DNAnalyzer,516,520,0.5,
VerisimilitudeX/DNAnalyzer,510,516,0.45,
VerisimilitudeX/DNAnalyzer,537,540,0.65,
VerisimilitudeX/DNAnalyzer,518,537,0.5,
VerisimilitudeX/DNAnalyzer,532,534,0.5,
VerisimilitudeX/DNAnalyzer,526,529,0.45,
VerisimilitudeX/DNAnalyzer,510,524,0.85,
VerisimilitudeX/DNAnalyzer,514,528,0.55,
VerisimilitudeX/DNAnalyzer,515,517,0.5,
VerisimilitudeX/DNAnalyzer,508,517,0.4,
VerisimilitudeX/DNAnalyzer,516,536,0.58,
VerisimilitudeX/DNAnalyzer,510,514,0.45,
VerisimilitudeX/DNAnalyzer,516,537,0.45,
VerisimilitudeX/DNAnalyzer,508,539,0.4,
VerisimilitudeX/DNAnalyzer,515,528,0.35,
VerisimilitudeX/DNAnalyzer,532,535,0.25,
VerisimilitudeX/DNAnalyzer,517,528,0.3,
VerisimilitudeX/DNAnalyzer,510,525,0.52,
VerisimilitudeX/DNAnalyzer,523,543,0.25,
VerisimilitudeX/DNAnalyzer,508,520,0.92,
VerisimilitudeX/DNAnalyzer,516,538,0.48,
VerisimilitudeX/DNAnalyzer,517,527,0.82,
VerisimilitudeX/DNAnalyzer,536,540,0.72,
VerisimilitudeX/DNAnalyzer,523,539,0.58,
VerisimilitudeX/DNAnalyzer,515,532,0.52,
VerisimilitudeX/DNAnalyzer,537,539,0.88,
VerisimilitudeX/DNAnalyzer,516,526,0.88,
VerisimilitudeX/DNAnalyzer,510,517,0.73,
VerisimilitudeX/DNAnalyzer,517,530,0.84,
VerisimilitudeX/DNAnalyzer,518,526,0.65,
VerisimilitudeX/DNAnalyzer,510,526,0.6,
VerisimilitudeX/DNAnalyzer,514,518,0.98,
VerisimilitudeX/DNAnalyzer,539,540,0.5,
VerisimilitudeX/DNAnalyzer,517,521,0.4,
VerisimilitudeX/DNAnalyzer,526,540,0.5,
VerisimilitudeX/DNAnalyzer,508,513,0.55,
VerisimilitudeX/DNAnalyzer,510,536,0.6,
VerisimilitudeX/DNAnalyzer,508,529,0.6,
VerisimilitudeX/DNAnalyzer,523,524,0.35,
VerisimilitudeX/DNAnalyzer,517,523,0.55,
VerisimilitudeX/DNAnalyzer,516,525,0.8,
VerisimilitudeX/DNAnalyzer,508,519,0.72,
VerisimilitudeX/DNAnalyzer,510,535,0.55,
VerisimilitudeX/DNAnalyzer,508,521,0.65,
VerisimilitudeX/DNAnalyzer,514,516,0.7,
VerisimilitudeX/DNAnalyzer,529,532,0.35,
VerisimilitudeX/DNAnalyzer,510,543,0.72,
VerisimilitudeX/DNAnalyzer,516,518,0.78,
VerisimilitudeX/DNAnalyzer,516,519,0.92,
VerisimilitudeX/DNAnalyzer,518,524,0.35,
VerisimilitudeX/DNAnalyzer,514,524,0.35,
VerisimilitudeX/DNAnalyzer,523,532,0.15,
VerisimilitudeX/DNAnalyzer,514,537,0.4,
VerisimilitudeX/DNAnalyzer,516,517,0.45,
VerisimilitudeX/DNAnalyzer,515,538,0.25,
VerisimilitudeX/DNAnalyzer,510,532,0.2,
VerisimilitudeX/DNAnalyzer,508,524,0.7,
VerisimilitudeX/DNAnalyzer,515,539,0.45,
VerisimilitudeX/DNAnalyzer,514,527,0.55,
VerisimilitudeX/DNAnalyzer,516,523,0.65,
VerisimilitudeX/DNAnalyzer,516,530,0.72,
VerisimilitudeX/DNAnalyzer,508,537,0.75,
VerisimilitudeX/DNAnalyzer,516,534,0.62,
VerisimilitudeX/DNAnalyzer,526,527,0.78,
VerisimilitudeX/DNAnalyzer,517,540,0.55,
VerisimilitudeX/DNAnalyzer,523,536,0.68,
VerisimilitudeX/DNAnalyzer,517,537,0.8,
VerisimilitudeX/DNAnalyzer,523,537,0.62,
VerisimilitudeX/DNAnalyzer,510,521,0.92,
VerisimilitudeX/DNAnalyzer,515,516,0.8,
VerisimilitudeX/DNAnalyzer,510,519,0.8,
VerisimilitudeX/DNAnalyzer,515,523,0.45,
VerisimilitudeX/DNAnalyzer,538,540,0.35,
VerisimilitudeX/DNAnalyzer,508,518,0.65,
VerisimilitudeX/DNAnalyzer,517,536,0.55,
VerisimilitudeX/DNAnalyzer,518,521,0.7,
VerisimilitudeX/DNAnalyzer,532,536,0.35,
VerisimilitudeX/DNAnalyzer,517,544,0.5,
VerisimilitudeX/DNAnalyzer,518,535,0.55,
VerisimilitudeX/DNAnalyzer,515,537,0.7,
VerisimilitudeX/DNAnalyzer,508,525,0.85,
VerisimilitudeX/DNAnalyzer,526,532,0.35,
VerisimilitudeX/DNAnalyzer,508,511,0.55,
VerisimilitudeX/DNAnalyzer,517,524,0.65,
VerisimilitudeX/DNAnalyzer,515,535,0.45,
VerisimilitudeX/DNAnalyzer,516,543,0.5,
VerisimilitudeX/DNAnalyzer,515,521,0.7,
VerisimilitudeX/DNAnalyzer,538,539,0.35,
VerisimilitudeX/DNAnalyzer,514,515,0.65,
VerisimilitudeX/DNAnalyzer,517,534,0.3,
VerisimilitudeX/DNAnalyzer,515,526,0.45,
VerisimilitudeX/DNAnalyzer,508,544,0.4,
VerisimilitudeX/DNAnalyzer,515,544,0.35,
VerisimilitudeX/DNAnalyzer,523,530,0.3,
VerisimilitudeX/DNAnalyzer,532,540,0.2,
VerisimilitudeX/DNAnalyzer,532,544,0.3,
VerisimilitudeX/DNAnalyzer,514,529,0.45,
VerisimilitudeX/DNAnalyzer,510,511,0.55,
VerisimilitudeX/DNAnalyzer,518,528,0.4,
VerisimilitudeX/DNAnalyzer,508,535,0.7,
VerisimilitudeX/DNAnalyzer,515,540,0.75,
VerisimilitudeX/DNAnalyzer,532,543,0.35,
VerisimilitudeX/DNAnalyzer,526,530,0.55,
VerisimilitudeX/DNAnalyzer,508,509,0.85,
VerisimilitudeX/DNAnalyzer,523,528,0.25,
VerisimilitudeX/DNAnalyzer,526,528,0.45,
VerisimilitudeX/DNAnalyzer,523,525,0.35,
VerisimilitudeX/DNAnalyzer,514,523,0.5,
VerisimilitudeX/DNAnalyzer,510,523,0.4,
VerisimilitudeX/DNAnalyzer,523,527,0.8,
VerisimilitudeX/DNAnalyzer,523,544,0.2,
VerisimilitudeX/DNAnalyzer,515,518,0.7,
VerisimilitudeX/DNAnalyzer,508,527,0.35,
VerisimilitudeX/DNAnalyzer,516,529,0.45,
VerisimilitudeX/DNAnalyzer,518,534,0.25,
VerisimilitudeX/DNAnalyzer,516,539,0.55,
VerisimilitudeX/DNAnalyzer,526,544,0.7,
VerisimilitudeX/DNAnalyzer,508,514,0.4,
VerisimilitudeX/DNAnalyzer,518,525,0.6,
VerisimilitudeX/DNAnalyzer,518,527,0.7,
VerisimilitudeX/DNAnalyzer,518,532,0.25,
VerisimilitudeX/DNAnalyzer,517,543,0.55,
VerisimilitudeX/DNAnalyzer,517,538,0.3,
VerisimilitudeX/DNAnalyzer,508,540,0.7,
VerisimilitudeX/DNAnalyzer,526,539,0.6,
VerisimilitudeX/DNAnalyzer,523,538,0.2,
VerisimilitudeX/DNAnalyzer,516,528,0.7,
VerisimilitudeX/DNAnalyzer,515,543,0.5,
VerisimilitudeX/DNAnalyzer,508,516,0.75,
VerisimilitudeX/DNAnalyzer,516,532,0.3,
VerisimilitudeX/DNAnalyzer,518,529,0.55,
VerisimilitudeX/DNAnalyzer,514,520,0.4,
VerisimilitudeX/DNAnalyzer,515,524,0.7,
VerisimilitudeX/DNAnalyzer,515,525,0.7,
VerisimilitudeX/DNAnalyzer,508,510,0.5,
VerisimilitudeX/DNAnalyzer,517,532,0.15,
VerisimilitudeX/DNAnalyzer,514,539,0.4,
VerisimilitudeX/DNAnalyzer,514,521,0.5,
VerisimilitudeX/DNAnalyzer,508,530,0.6,
VerisimilitudeX/DNAnalyzer,523,534,0.15,
VerisimilitudeX/DNAnalyzer,516,544,0.45,
VerisimilitudeX/DNAnalyzer,514,517,0.35,
VerisimilitudeX/DNAnalyzer,517,520,0.95,
VerisimilitudeX/DNAnalyzer,526,534,0.3,
VerisimilitudeX/DNAnalyzer,518,523,0.2,
VerisimilitudeX/DNAnalyzer,532,537,0.35,
VerisimilitudeX/DNAnalyzer,508,543,0.2,
VerisimilitudeX/DNAnalyzer,515,534,0.3,
VerisimilitudeX/DNAnalyzer,510,520,0.4,
VerisimilitudeX/DNAnalyzer,514,519,0.75,
VerisimilitudeX/DNAnalyzer,529,530,0.75,
VerisimilitudeX/DNAnalyzer,526,537,0.8,
VerisimilitudeX/DNAnalyzer,518,536,0.7,
VerisimilitudeX/DNAnalyzer,517,519,0.55,
VerisimilitudeX/DNAnalyzer,518,539,0.75,
VerisimilitudeX/DNAnalyzer,514,534,0.5,
VerisimilitudeX/DNAnalyzer,523,540,0.4,
VerisimilitudeX/DNAnalyzer,518,519,0.75,
VerisimilitudeX/DNAnalyzer,510,538,0.35,
VerisimilitudeX/DNAnalyzer,523,535,0.3,
VerisimilitudeX/DNAnalyzer,536,539,0.8,
VerisimilitudeX/DNAnalyzer,514,536,0.12,
VerisimilitudeX/DNAnalyzer,515,519,0.55,
VerisimilitudeX/DNAnalyzer,537,538,0.12,
VerisimilitudeX/DNAnalyzer,515,529,0.85,
VerisimilitudeX/DNAnalyzer,516,527,0.45,
VerisimilitudeX/DNAnalyzer,518,544,0.25,
VerisimilitudeX/DNAnalyzer,532,538,0.12,
VerisimilitudeX/DNAnalyzer,510,527,0.5,
VerisimilitudeX/DNAnalyzer,508,532,0.2,
VerisimilitudeX/DNAnalyzer,515,536,0.65,
VerisimilitudeX/DNAnalyzer,514,544,0.25,
VerisimilitudeX/DNAnalyzer,514,526,0.4,
abh/ntppool,259,261,0.08,
abh/ntppool,257,259,0.95,
abh/ntppool,254,259,0.08,
abh/ntppool,254,261,0.08,
abh/ntppool,254,257,0.08,
abh/ntppool,257,261,0.08,
abuzuhri/Amazon-SP-API-CSharp,867,871,0.7,
abuzuhri/Amazon-SP-API-CSharp,867,870,0.9,
abuzuhri/Amazon-SP-API-CSharp,867,869,0.92,
activeguild/vite-plugin-sass-dts,115,116,0.75,
activeguild/vite-plugin-sass-dts,114,116,0.6,
activeguild/vite-plugin-sass-dts,114,115,0.65,
addok/addok,892,893,0.6,
addok/addok,891,893,0.45,
addok/addok,891,892,0.5,
ag2ai/build-with-ag2,16,21,0.3,
ag2ai/build-with-ag2,8,9,0.75,
ajthinking/data-story,466,470,0.05,
ajthinking/data-story,466,468,0.05,
akto-api-security/akto,2624,2674,0.1,
akto-api-security/akto,2620,2674,0.05,
akto-api-security/akto,2620,2624,0.05,
aldinokemal/go-whatsapp-web-multidevice,334,335,0.7,
aldinokemal/go-whatsapp-web-multidevice,313,314,0.85,
angular-eslint/angular-eslint,2441,2442,0.1,
arondeparon/laravel-request-sanitizer,36,37,0.35,
arturboyun/AiogramBotTemplate,41,42,0.78,
arturboyun/AiogramBotTemplate,40,42,0.12,
arturboyun/AiogramBotTemplate,40,41,0.1,
assaydepot/red-candle,27,28,0.18,
assaydepot/red-candle,26,28,0.1,
assaydepot/red-candle,26,27,0.08,
astronomer/airflow-ai-sdk,31,36,0.82,
astronomer/airflow-ai-sdk,31,33,0.68,
astronomer/airflow-ai-sdk,31,32,0.92,
aztfmod/terraform-provider-azurecaf,312,330,0.35,
aztfmod/terraform-provider-azurecaf,302,303,0.8,
aztfmod/terraform-provider-azurecaf,322,326,0.2,
aztfmod/terraform-provider-azurecaf,335,337,0.15,
aztfmod/terraform-provider-azurecaf,312,335,0.2,
aztfmod/terraform-provider-azurecaf,312,337,0.6,
aztfmod/terraform-provider-azurecaf,312,322,0.1,
aztfmod/terraform-provider-azurecaf,309,311,0.95,
aztfmod/terraform-provider-azurecaf,302,304,0.75,
aztfmod/terraform-provider-azurecaf,309,312,0.1,
aztfmod/terraform-provider-azurecaf,328,332,0.5,
aztfmod/terraform-provider-azurecaf,312,328,0.65,
aztfmod/terraform-provider-azurecaf,312,326,0.12,
aztfmod/terraform-provider-azurecaf,328,337,0.75,
aztfmod/terraform-provider-azurecaf,328,330,0.8,
aztfmod/terraform-provider-azurecaf,303,304,0.85,
aztfmod/terraform-provider-azurecaf,301,302,0.8,
aztfmod/terraform-provider-azurecaf,328,335,0.25,
aztfmod/terraform-provider-azurecaf,312,332,0.2,
barter-rs/barter-rs,186,188,0.45,
bcherny/json-schema-to-typescript,658,663,0.1,
benbalter/jekyll-relative-links,98,100,0.15,
benbalter/jekyll-relative-links,97,98,0.35,
benbalter/jekyll-relative-links,96,98,0.6,
benbalter/jekyll-relative-links,96,100,0.2,
benbalter/jekyll-relative-links,96,97,0.5,
benbalter/jekyll-relative-links,97,100,0.15,
bentoml/BentoML,5239,5241,0.95,
bentoml/BentoML,5230,5237,0.25,
bentoml/BentoML,5230,5231,0.15,
bentoml/BentoML,5230,5239,0.1,
bentoml/BentoML,5176,5194,0.65,
bentoml/BentoML,5230,5241,0.2,
benwbrum/fromthepage,4719,4766,0.05,
benwbrum/fromthepage,4719,4791,0.05,
benwbrum/fromthepage,4789,4795,0.1,
benwbrum/fromthepage,4789,4792,0.05,
benwbrum/fromthepage,4750,4765,0.12,
benwbrum/fromthepage,4716,4720,0.12,
benwbrum/fromthepage,4696,4785,0.1,
benwbrum/fromthepage,4783,4792,0.05,
benwbrum/fromthepage,4783,4786,0.2,
benwbrum/fromthepage,4782,4793,0.15,
benwbrum/fromthepage,4696,4791,0.1,
benwbrum/fromthepage,4786,4790,0.25,
benwbrum/fromthepage,4788,4794,0.05,
benwbrum/fromthepage,4765,4786,0.2,
benwbrum/fromthepage,4788,4792,0.05,
benwbrum/fromthepage,4750,4784,0.05,
benwbrum/fromthepage,4696,4783,0.15,
benwbrum/fromthepage,4790,4795,0.1,
benwbrum/fromthepage,4765,4789,0.3,
benwbrum/fromthepage,4791,4793,0.1,
benwbrum/fromthepage,4788,4791,0.05,
benwbrum/fromthepage,4719,4720,0.45,
